Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
22.0,Pandora,1.0,False,True,False,Rock,True,False,108.0,1,0,2,1,0,0,3,0,0,0,0,2,1,0,3,1,8.0,7.0,0.0,5.0,0
15.0,Other,2.0,True,True,False,Rock,False,False,156.0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,3,2,3.0,2.0,6.0,7.0,0
25.0,Spotify,2.0,False,False,False,Metal,False,True,170.0,1,1,1,2,0,1,0,1,0,1,3,2,0,1,3,3,5.0,5.0,3.0,1.0,1
32.0,Spotify,5.0,True,False,False,Rock,False,True,91.0,2,0,1,2,0,2,1,1,0,0,3,3,3,1,3,0,10.0,10.0,3.0,1.0,2
36.0,Spotify,6.0,True,False,False,Metal,True,True,174.0,3,0,1,3,0,0,0,2,0,1,3,1,0,0,2,3,5.0,4.0,10.0,2.0,0
24.0,Spotify,3.0,False,False,False,Rock,True,True,130.0,2,2,0,1,0,0,1,0,1,0,3,3,0,0,3,0,0.0,0.0,8.0,0.0,1
29.0,Spotify,4.0,False,False,False,Hip hop,True,False,140.0,1,2,1,0,1,3,1,1,1,1,0,2,2,2,2,0,8.0,8.0,5.0,10.0,0
41.0,Apple Music,3.0,True,True,True,Metal,True,True,130.0,2,0,2,0,0,1,1,0,0,2,2,2,0,1,1,0,10.0,7.0,8.0,0.0,0
36.0,No Streaming Service,2.0,True,True,True,Rock,True,False,127.0,2,1,3,2,1,1,3,0,0,0,3,2,1,1,3,2,7.0,3.0,1.0,1.0,0
19.0,YouTube Music,3.0,True,False,False,Rock,True,False,160.0,1,2,2,1,0,2,1,0,2,2,2,2,3,3,3,1,8.0,7.0,4.0,0.0,0
31.0,Spotify,2.0,True,False,False,Rock,True,True,120.0,0,2,0,1,2,0,2,1,0,0,2,3,0,0,3,0,10.0,2.0,0.0,5.0,1
16.0,Spotify,4.0,True,False,False,Rock,False,True,120.0,2,1,1,2,0,1,1,1,1,2,2,3,1,1,3,3,9.0,8.0,1.0,2.0,0
26.0,Spotify,2.0,True,True,True,Hip hop,True,True,165.0,1,1,3,1,1,3,1,1,1,1,1,2,1,3,3,1,6.0,3.0,1.0,1.0,0
22.0,Apple Music,0.5,False,False,False,Hip hop,False,False,113.0,2,0,0,0,0,3,1,0,1,0,0,2,2,3,0,0,7.0,7.0,0.0,1.0,1
16.0,Spotify,5.0,True,True,True,Jazz,True,True,167.0,2,1,0,0,1,1,3,3,1,0,0,3,1,3,2,0,7.0,7.0,8.0,4.0,0
17.0,Spotify,5.0,True,False,False,Metal,True,True,95.0,0,2,1,1,0,0,0,0,0,0,3,1,0,0,3,2,4.0,1.0,0.0,0.0,0
19.0,Spotify,10.0,True,False,False,R&B,True,True,110.0,0,1,3,0,0,2,0,3,0,0,0,1,3,1,0,0,7.0,2.0,1.0,5.0,0
18.0,YouTube Music,2.0,False,False,False,EDM,False,True,150.0,2,1,3,0,1,1,1,0,0,2,0,3,1,2,1,3,9.0,0.0,5.0,10.0,0
18.0,YouTube Music,4.0,True,False,False,Hip hop,True,True,93.0,0,0,1,0,0,3,2,2,1,2,0,3,3,3,2,1,2.0,7.0,1.0,1.0,0
19.0,Spotify,5.0,False,True,True,Rock,True,True,90.0,1,0,0,1,0,2,3,0,3,1,2,1,2,1,3,1,10.0,8.0,7.0,0.0,0
19.0,Spotify,3.0,True,False,False,Jazz,True,False,118.0,1,0,1,0,0,3,3,1,2,3,0,2,2,2,1,3,3.0,0.0,0.0,0.0,0
22.0,Spotify,2.0,True,False,False,K pop,True,True,126.0,0,0,3,0,0,2,0,3,0,0,0,2,0,2,3,1,7.0,8.0,5.0,1.0,1
16.0,Spotify,2.5,True,True,True,Rock,True,True,103.0,1,2,0,3,0,1,2,0,2,2,1,3,1,0,3,1,2.0,1.0,0.0,0.0,0
19.0,Spotify,3.0,True,False,False,R&B,True,True,77.0,1,0,2,0,0,3,1,3,1,1,1,3,3,3,1,3,5.0,4.0,0.0,1.0,0
37.0,Spotify,1.0,True,False,False,Rock,False,False,115.0,1,1,1,1,0,1,1,1,0,1,1,2,1,1,3,0,9.0,10.0,6.0,10.0,1
14.0,Spotify,7.0,True,True,False,Jazz,False,False,110.0,1,0,3,0,0,0,3,0,2,0,0,2,0,0,3,3,2.0,0.0,0.0,0.0,0
33.0,No Streaming Service,1.0,False,False,False,Metal,False,True,120.0,1,2,2,0,0,2,0,0,1,0,3,2,1,2,2,2,5.0,2.0,5.0,1.0,0
26.0,Spotify,1.0,False,False,False,R&B,False,False,113.0,1,2,0,2,0,3,3,0,0,0,3,3,3,3,3,0,3.0,2.0,0.0,0.0,1
32.0,Spotify,3.0,True,False,False,Hip hop,False,False,157.0,0,0,1,0,0,3,0,0,2,1,0,2,3,3,1,0,2.0,0.0,7.0,0.0,1
30.0,Spotify,5.0,True,True,False,Metal,True,False,160.0,2,1,0,2,0,1,0,0,0,0,3,2,0,0,3,0,7.0,6.0,6.0,2.0,1
43.0,No Streaming Service,6.0,True,True,True,Video game music,True,True,109.0,2,1,3,1,1,1,1,2,1,3,1,2,1,0,2,3,5.0,4.0,8.0,3.0,1
24.0,Spotify,4.0,True,False,False,Classical,True,True,175.0,3,1,1,0,0,1,1,0,0,0,2,3,1,0,3,1,4.0,6.0,5.0,3.0,0
36.0,YouTube Music,1.0,True,False,False,Rock,True,False,110.0,2,1,0,0,0,0,0,0,0,0,1,2,1,1,3,0,6.0,2.0,3.0,1.0,0
19.0,YouTube Music,4.0,True,False,False,Video game music,True,False,162.0,1,0,1,0,0,1,2,0,0,2,0,2,0,0,1,3,8.0,2.0,1.0,6.0,0
22.0,Spotify,10.0,True,False,False,Metal,True,True,189.0,1,3,0,3,0,0,1,0,0,0,3,1,0,1,2,2,9.0,6.0,0.0,6.0,0
20.0,Spotify,3.0,False,False,True,EDM,True,True,121.0,1,2,3,0,0,2,0,1,0,2,0,2,0,2,2,1,0.0,3.0,7.0,0.0,0
31.0,Spotify,2.0,False,False,False,Rock,True,False,200.0,1,1,0,1,0,1,1,0,0,1,2,2,0,1,3,0,8.0,9.0,6.0,2.0,0
19.0,Spotify,4.0,True,False,False,Metal,True,True,105.0,2,0,0,0,0,2,2,1,0,0,2,2,1,2,3,1,4.0,1.0,1.0,1.0,0
15.0,Spotify,8.0,True,False,False,Rock,False,False,193.0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,8.0,7.0,5.0,0.0,0
18.0,Spotify,2.0,False,True,True,Metal,True,True,149.0,0,0,1,0,0,2,0,0,0,0,3,2,0,1,3,1,3.0,4.0,6.0,1.0,0
25.0,No Streaming Service,0.5,False,True,False,Classical,False,False,140.0,3,0,0,0,1,0,2,0,2,0,1,1,1,0,3,2,1.0,1.0,3.0,1.0,0
17.0,Apple Music,5.0,True,False,False,Metal,True,False,134.0,0,1,0,0,0,2,0,0,0,1,3,2,2,2,3,1,10.0,8.0,6.0,7.0,1
28.0,YouTube Music,1.0,False,False,False,Rock,True,False,120.0,1,0,3,2,0,0,0,0,0,1,1,1,0,0,2,1,6.0,6.0,2.0,0.0,1
20.0,Spotify,3.0,True,False,False,Rock,True,True,170.0,0,0,1,0,0,1,0,2,0,1,1,2,2,1,3,2,6.0,7.0,0.0,0.0,0
21.0,YouTube Music,2.0,True,True,False,Metal,True,True,107.0,2,1,0,3,0,0,1,0,0,1,3,1,0,1,2,3,8.0,4.0,10.0,0.0,1
41.0,Spotify,3.0,True,False,False,Pop,False,True,113.0,2,0,1,1,1,3,2,1,1,0,1,3,3,2,3,0,9.0,7.0,6.0,2.0,1
20.0,Spotify,2.0,True,True,False,Pop,True,False,126.0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,3,2,7.0,4.0,6.0,5.0,0
34.0,Other,4.0,True,False,False,Metal,True,True,161.0,1,0,2,0,0,2,1,0,0,0,3,1,0,2,2,1,6.0,7.0,0.0,0.0,1
21.0,YouTube Music,3.0,True,False,True,Metal,True,False,120.0,2,1,0,2,0,0,0,0,0,0,3,3,0,0,3,1,10.0,0.0,10.0,10.0,0
